Flight,R a,R b,Q a,Q b,average range error [m],correlations:,range,velocity,bearing
1,11.63131313,0.145454545,0.08,0.160505051,0.519328391,,-0.954634774,0.132542847,0.01372349
2,14.26767677,0.160505051,0.01,0.160505051,0.626925746,,-0.831543251,-0.039059125,-0.292158122
3,13.68181818,0.160505051,0.01,0.160505051,0.415375039,,-0.774922257,-0.051515818,-0.274040482
4,6.212121212,0.175555556,0.01,0.250808081,0.576182228,,-0.503981926,0.028231565,-0.288087164
average,11.44823232,0.160505051,0.0275,0.183080808,0.534452851,,-0.766270552,0.017549867,-0.210140569
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Simulation,R a,R b,Q a,Q b,average range error [m],correlations:,range,velocity,bearing
1,15,0.07020202,0.08,0.160505051,10.28167035,,-0.071176048,0.051293554,-0.056256889
2,1.964646465,0.326060606,0.24,0.160505051,0.212365393,,0.010080529,0.05767147,0.001759419
3,15,0.928080808,0.24,0.160505051,0.118628578,,0.116584898,-0.008166172,-0.258897939
4,3.722222222,0.01,0.12,0.01,0.07201377,,0.10461819,0.081912922,-0.005970088
5,2.111111111,0.115353535,0.21,0.01,0.098120441,,0.054147627,-0.143659763,-0.004013676
6,2.111111111,0.115353535,0.21,0.01,0.101319074,,0.100385759,-0.026453186,0.099958187
7,4.308080808,0.01,0.08,0.01,0.071615617,,0.052924626,0.045818607,0.060356381
8,15,0.777575758,0.04,0.01,0.066343795,,0.101423958,-0.19426835,-0.087066466
9,0.5,0.01,0.95,0.160505051,0.546633346,,0.163221418,0.025882404,-0.017779068
10,15,0.01,0.05,0.01,0.044545377,,-0.90910501,0.004721041,-0.061270576
average,7.471717172,0.237262626,0.222,0.07020202,1.161325574,,-0.027689405,-0.010524747,-0.032918072
